"name","phone","email","lat","lng","level"
"Prompt Parts GmbH / 3B-Bachofnerbogensport","+41 (52) 3841133","info@pfeil-bogen.ch","47.455123901","8.7784090042","0"
"Bogensport Lorcher","+49 (7159) 949778","matthes@bogensport-loercher.de","48.737659454","8.9753236771","0"
"Traxler Bogensport","+43 (166) 20168","info@bows.at","48.149219513","16.311037064","0"
"Archery Direct ","64 7 855 9369","","-37.7397995","175.22799683","4"
"Archery World","01539-558141","","54.16960144","-2.972110033","0"
"Archery Direct","040 890 700 40","","53.567699432","9.9045200348","0"
"Elzinga Archery","+31 (36) 7070776","info@elzingaarchery.com","52.392375946","5.2850008011","0"
"Urban Archery","+61 (3) 9434 7489","sales@urbanarchery.com","-37.69860077","145.11000061","0"
"The Bow Shop","0861 269 746","","-25.90979958","28.262300491","0"
"C. Knoebel/NK-Archery","+49 (7721) 4515","info@nk-archery.de","48.063541412","8.4972963333","0"
"Archery West","08 9459 0700","","-32.04510117","115.97499847","0"
"Gobel Bogensport","+49 (5381) 941651","info@gobel-bogensport.de","51.876678467","10.147760391","0"
"Canga Archery","1.16E+12","","-26.76049995","153.12600708","0"
"Roth Bogensport","+49 (7751) 8029248","info@roth-bogensport.de","47.614639282","8.2396202087","0"
"Still Bow","27219496047","","-33.8893013","18.634300232","0"
"Ravnjak D.O.O.","+386 (2620) 8687","ravnjak@amis.net","46.58921814","15.024601936","0"
"TOXON SPORT","0039(0)75-5003815","","43.089099884","12.373399734","0"
"Maximarqueria SA. de. CV","52 3316 58 4051","","20.643699646","-103.4000015","0"
"Archery Service Center","(+31) 0653151631","","51.481998444","6.0560898781","0"
"Center Shot Archery Services","+39 0172 190 8008","","44.543899536","7.7116498947","0"
"Arco & Frecce Superstore","39.937003","","45.528400421","9.0879497528","0"
"Multikonstrukt Kft.","+36 (96) 554009","info@pannonijasz.com","47.575473785","17.749324799","0"
"Bogensport Fuchs","+43 (361) 420838","fuchsmax@aon.at","47.52204895","14.361304283","0"
"Saurier Bogensport","02643-941388","","50.526901245","6.9921398163","0"
"Joe's Archery","07248-6462","","48.883701324","8.5058002472","0"
"Bogensport-Zentrum Chiemgau","08663-418149","","47.762901306","12.645299911","0"
"L'Usignolo sas ki Malvina Longhi","034-87552418","","45.584499359","9.2744503021","0"
"Archery BZ Srl - Unipersonale in liquidazione","0331-87662","","45.664600372","8.7747602463","0"
"JP Archery Co. Ltd","+81 (9) 053071310","yamaguchi@archery-shop.jp","35.702331543","139.69863892","0"
"JVD Distribution","31 73 518 6020","","51.699401855","5.185379982","0"
"Onok Okculuk","+90 (312) 4417743","okyay@onok.com.tr","39.925346375","32.844314575","0"
"Archery Addiction","02 6742 3564","archeryaddiction@bigpond.com","-30.99790001","150.24099731","3"
"Oz Hunting and Bows","0395709100","","-37.90853119","145.08557129","0"
"Big Kreek Outdoors","870-932-1615","","35.967300415","-90.84670258","0"
"Mike's Outdoors","850-478-1129","","30.522899628","-87.27400208","0"
"Southtown Sporting Goods","479-443-7148","","36.134899139","-94.14459991","0"
"Archery Headquarters","480-961-3100","","33.304901123","-111.9509964","0"
"Bull Basin Archery","928-526-1025","","35.211700439","-111.6100006","0"
"Predator's Archery","408-842-7733","","37.00630188","-121.5680008","5"
"The Bow Rack","530-243-5181","","40.544200897","-122.461998","0"
"Archery In the Wild","720-652-9100","","40.159801483","-105.0230026","2"
"Andover Archery Center","860-742-4279","","41.702098846","-72.36560059","0"
"Chuck's Gun and Pawn","478-922-9851","","32.619098663","-83.60569763","0"
"Scudder Archery","515-250-9909","","40.643901825","-93.80580139","0"
"Scheels All Sports - Des Moines","515-727-4065","","41.568401337","-93.80519867","0"
"Sportsmen's Unlimited","563-568-4955","","43.277999878","-91.4756012","2"
"SS Archery","208-941-9899","","43.58549881","-116.2300034","0"
"Buck Stop Archery","618-427-5264","buckstoparchery@yahoo.com","38.995876312","-88.95284271","3"
"On Target Archery","618-521-9169","","37.957099915","-89.79429626","0"
"TAZ Archery","815-337-0332","","42.295597076","-88.42995453","3"
"The Hunter's Shack","217-268-4774","","39.680801392","-88.37599945","0"
"Wolf Hollow Archery","309-274-9653","","40.878200531","-89.50610352","1"
"Bass and Bucks","260-569-1853","","40.752300262","-85.89559937","3"
"Trophy Book Archery LTD","780-962-6322","","53.539299011","-113.8860016","0"
"Lonesome Elk","812-466-2391","","39.593700409","-87.35099792","0"
"Red Deer Archery","403-343-1153","","52.272399902","-113.7689972","0"
