"EVERYTHING ARCHERY--HI","808-342-7111","","1320 KALANI ST., WAIPAHU, HI  96817","","","","","21.3434","-157.839","1"
"S. TOKUNAGA STORE---HI","808-935-6965","","26 HOKU STREET, HILO, HI  96720","","","","","19.7169","-155.08","2"
"J HARA STORE INC.--HI","808-966-5462","","17-343 GOVERNMENT ROAD, KURTISTOWN, HI  96760","","","","","19.6036","-155.057","3"
"FULL CURL ARCHERY, LLC--AK","907-952-6277","","12501 OLD SERWARD HWY, ANCHORAGE, AK  99502","","","","","61.1076","-149.861","4"
"SCREAMING EAGLE ARCHERY--AK","907-352-3423","","200 PARK AVE., WASILLA, AK  99654","","","","","61.5776","-149.447","5"
"BUCKSPORT SPORTING GOODS-CA","707-442-1832","","3650 BROADWAY AVE., EUREKA, CA  95503","","","","","40.7736","-124.191","6"
"GRUNDMAN'S SPORTING GOODS--CA","707-764-5744","","75 WILDWOOD AVE., RIO DELL, CA  95562","","","","","40.4929","-124.102","7"
"KUTCH ARCHERY---OR","503-852-7537","","21401 N.W. KUTCH RD., YAMHILL, OR  97148","","","","","45.3248","-123.33","8"
"BOWTECH PRO SHOP---OR","541-463-7746","","90554 HWY 99 N, EUGENE, OR  97402","","","","","44.1183","-123.186","9"
"PACIFIC CREST ARCHERY--OR","503-585-4547","","3068 RIVER ROAD N, SALEM, OR  97303","","","","","44.9706","-123.031","10"
"AFFORDABLE ARCHERY--OR","541-895-8941","","83591 N. PACIFIC  HWY., CRESWELL, AZ  97426","","","","","43.9329","-123.014","11"
"LUCKY SHOT ARCHERY--WA","360-740-7464","","470 COAL CREEK RD., CHEHALIS, WA  98532","","","","","46.6649","-122.946","12"
"BOB'S SPORTING GOODS---WA","360-425-3870","","1111 HUDSON, LONGVIEW, WA  98632","","","","","46.1359","-122.932","13"
"SOUTHERN OREGON ARCHERY, LLC--OR","541-664-3310","","226 E. PINE ST., CENTRAL POINT, OR  97502","","","","","42.3747","-122.916","14"
"DEWCLAW ARCHERY---OR","541-772-1896","","2722 WEST MAIN ST., MEDFORD, OR  97501","","","","","42.3241","-122.907","15"
"SIDE HILL ARCHERY--WA","360-560-1694","","2853 MT. BRYNION RD., KELSO, WA  98626","","","","","46.1671","-122.873","16"
"ARCHERS AFIELD---OR","503-639-3553","","11945 S.W. PACIFIC HWY. 121, PORTLAND, OR  97223","","","","","45.4339","-122.765","17"
"PENINSULA'S PREMIER PRO-SHOP--WA","360-275-6631","","70N.E. KATCHEMAK, SILVERDALE, WA  98383","","","","","47.6445","-122.695","18"
