EVERYTHING ARCHERY--HI,"1320 KALANI ST., WAIPAHU, HI  96817",808-342-7111,,21.3434,-157.839
S. TOKUNAGA STORE---HI,"26 HOKU STREET, HILO, HI  96720",808-935-6965,,19.7169,-155.08
J HARA STORE INC.--HI,"17-343 GOVERNMENT ROAD, KURTISTOWN, HI  96760",808-966-5462,,19.6036,-155.057
"FULL CURL ARCHERY, LLC--AK","12501 OLD SERWARD HWY, ANCHORAGE, AK  99502",907-952-6277,,61.1076,-149.861
SCREAMING EAGLE ARCHERY--AK,"200 PARK AVE., WASILLA, AK  99654",907-352-3423,,61.5776,-149.447
BUCKSPORT SPORTING GOODS-CA,"3650 BROADWAY AVE., EUREKA, CA  95503",707-442-1832,,40.7736,-124.191
GRUNDMAN'S SPORTING GOODS--CA,"75 WILDWOOD AVE., RIO DELL, CA  95562",707-764-5744,,40.4929,-124.102
KUTCH ARCHERY---OR,"21401 N.W. KUTCH RD., YAMHILL, OR  97148",503-852-7537,,45.3248,-123.33
BOWTECH PRO SHOP---OR,"90554 HWY 99 N, EUGENE, OR  97402",541-463-7746,,44.1183,-123.186
PACIFIC CREST ARCHERY--OR,"3068 RIVER ROAD N, SALEM, OR  97303",503-585-4547,,44.9706,-123.031
AFFORDABLE ARCHERY--OR,"83591 N. PACIFIC  HWY., CRESWELL, AZ  97426",541-895-8941,,43.9329,-123.014
LUCKY SHOT ARCHERY--WA,"470 COAL CREEK RD., CHEHALIS, WA  98532",360-740-7464,,46.6649,-122.946
BOB'S SPORTING GOODS---WA,"1111 HUDSON, LONGVIEW, WA  98632",360-425-3870,,46.1359,-122.932
"SOUTHERN OREGON ARCHERY, LLC--OR","226 E. PINE ST., CENTRAL POINT, OR  97502",541-664-3310,,42.3747,-122.916
DEWCLAW ARCHERY---OR,"2722 WEST MAIN ST., MEDFORD, OR  97501",541-772-1896,,42.3241,-122.907
SIDE HILL ARCHERY--WA,"2853 MT. BRYNION RD., KELSO, WA  98626",360-560-1694,,46.1671,-122.873
ARCHERS AFIELD---OR,"11945 S.W. PACIFIC HWY. 121, PORTLAND, OR  97223",503-639-3553,,45.4339,-122.765
PENINSULA'S PREMIER PRO-SHOP--WA,"70N.E. KATCHEMAK, SILVERDALE, WA  98383",360-275-6631,,47.6445,-122.695
FLETCH SETTER ARCHERY--WA,"400 BINGHAMPTON ST. WEST, RANIER, WA  98576",360-446-5632,,46.8871,-122.691
FISHERMAN'S MARINE SUPPLY---OR,"901 NORTH COLUMBIA BLVD., PORTLAND, OR  97217",503-283-8310,,45.5856,-122.676
AVID BOWHUNTER---CA,"2485 PETALUMA BLVD. N., PETALUMA, CA  94952",707-484-8408,,38.2552,-122.653
ARCHERY WORLD---WA,"803 GRAND BLVD., VANCOUVER, WA  98661",360-693-7510,,45.6268,-122.641
