JVD Distribution,31 73 518 6020,info@jvd.nl,Looier 9 5253 RA Nieuwkuijk,Netherlands,51.699391,5.185372,Standard
Roth Bogensport,+49 (7751) 8029248,info@roth-bogensport.de,"Alfred Nobelstrasse 6, D-79761 Waldshut-Tiengen",Germany,47.61464,8.23962,Standard
Bogensport Lorcher,+49 (7159) 949778,matthes@bogensport-loercher.de,Holderlinstrasse 2 71106 Magstadt,Germany,48.73766,8.975324,Standard
France Archerie Lbfa,+33 (143) 440024,contact@francearcherie.com,Rue Fernand Foureau 4&6 75012 Paris,France,48.829365,2.426541,Standard
Bogensport Fuchs,+43 (361) 420838,fuchsmax@aon.at,225 Burgtorsiedlung 8786 Rottenmann,Austria,47.522049,14.361305,Standard
Merlin Archery Ltd,+44 (150) 9233555,info@merlin-bows.co.uk,Central RoadPLT=Loughborough Great LE11 1RW Loughborough,United Kingdom,52.768145,-1.198203,Standard
Bagskyttespecialisten AB Bagar&Pilar,+46 (709) 461250,ulrika@bagaropilar.se,Triewaldsgrand 3 SE-11129 Stockholm,Sweden,59.322513,18.072616,Standard
Onok Okculuk,+90 (312) 4417743,okyay@onok.com.tr,Kentpark AVM Kat: -3B NO: 164 06520 ANKARA,Turkey,39.90995,32.776337,Standard
Archery Direct,+49 (4089) 070040,info@archerydirect.de,Friedrich-Ebert-Allee 35 22869 Schenefeld,Germany,53.608391,9.845384,Standard
BSW Handels GmbH,+49 (3837) 276884,kontakt@bogensportwelt.de,Demminer Strasse 32 17389 Anklam,Germany,53.85332,13.67388,Standard
Arco y Luna S.C.,+34 (6) 57186732,arcoyluna@hotmail.es,C/Literato Azorin 4-6 Alfafar 46910 Valencia,Spain,39,-0,Standard
Gobel Bogensport,+49 (5381) 941651,info@gobel-bogensport.de,Triftstrasse 58 38723 Seesen Germany,Germany,51.87668,10.14776,Standard
Perfect Archery Distribution GmbH,+49 (5619) 532595,perfect.archery@t-online.de,Ganseweide 4 34132 Kassel,Germany,51.28249,9.4311,Standard
Joe's Archery,+49 (7248) 6462,joes-archery@web.de,Industriestr 9 76307 Karlsbad,Germany,48.883722,8.505797,Standard
FATarchery,+358 (50) 3581805,sami@fatarchery.net,Haukitie 20 54915 Saimaanharju,Finland,61.135447,28.10781,Standard
Danage Scandinavia APS,+45 (74) 442636,henning@danage.dk,13 Industrivej 6310 Broager,Denmark,54.893169,9.658684,Standard
Prompt Parts GmbH / 3B-Bachofnerbogensport,+41 (52) 3841133,info@pfeil-bogen.ch,Tosstalstrasse 52 8483 Kollbrunn,Switzerland,47.455125,8.778409,Standard
Top Archery di Origgi Roberto,+39 (331) 876692,info@toparchery.eu,Via A Sciesa 40 21013 Gallarate va,Italy,45.66152,8.773581,Standard
Asbach-Bogensport,+49 (176) 23239782,info@asbach-bogensport.de,Lerchenweg 14 61130 Nidderau,Germany,50.220412,8.911542,Standard
Bogenshop Bad Zell,+43 (660) 3733388,bogenshop@gmx.at,6 Zellhof 4283 Bad Zell,Austria,48.342457,14.698145,Standard
Ravnjak D.O.O.,+386 (2620) 8687,ravnjak@amis.net,Cesta. 70 Mariborska SI-2370 Dravograd,Slovenia,46.589219,15.024602,Standard
Midt - Norsk Buesport (Eva),+47 (90) 9752515,buesport@gmail.com,Leira 6590 Tustna,Norway,63.201127,8.023648,Standard
Bow Sports Archery Centre - N. Aston,+44 (190) 2 791891,sales@bowsports.com,Ind. Park Laches Close WV10 7DZ Four Ashes Wolverhampton,United Kingdom,52.586973,-2.12882,Standard
Baldur's Archery,+45 (97) 183356,info@baldurs-archery.dk,6 Oerbaekvej 7330 Brande,Denmark,55.94526,9.118272,Standard
Multikonstrukt Kft.,+36 (96) 554009,info@pannonijasz.com,Arpad Street 27 9084 Gyorsag,Hungary,47.575473,17.749325,Standard
Hunter's Friend Europe Oy,+350 (45) 2086292,dana@huntersfriend.eu,Tervassalontie 234 71310 Vehmersalmi,Finland,62.760787,28.029395,Standard
Traxler Bogensport,+43 (166) 20168,info@bows.at,129/2 Anton-Baumgartner-Str. 1230 Wien,Austria,48.149221,16.311038,Standard
Bogensport Luckner,+49 (17) 11965879,mluckner76@googlemail.com,Lissenring 20 93462 Lam,Germany,49.18616,13.05269,Standard
Bogenwelt,+49 (7121) 677220,info@bogenwelt.de,Einhornstrasse 20 72138 Kirchentellinsfurt,Germany,48.53189,9.139696,Standard
Archery Service Center,+31 (6) 53151631,johan@archeryservicecenter.nl,Kreuzelweg 23 5961 NM Horst, Netherlands,51.481988,6.056086,Standard
Archery Supplies Ireland Limited,+353 (872) 406697,info@archeryshop.ie,Beechdale Avenue 2 24 Dublin Ballycullen,Ireland,53.271081,-6.337844,Standard
Arco Sport Spigarelli SRL,+39 (62) 148351,info@arcosportspigarelli.com,Via Prenestina 252/E 00177 Roma,Italy,41.892704,12.543211,Standard
Bogenladen-Leipzig.De / Mike Ott,+49 (1777) 384006,mike.ott@bogenladen-leipzig.de,Friederickenstr. 40 04279 Leipzig,Germany,51.29263,12.39722,Standard
Erhart Sports Et Loisers,+33 (389) 063030,info@erhart-sports.com,Rue De L'Ill 6 68350 Brunstatt,France,47.729702,7.318381,Standard
Compoundladen.de,+49 (163) 7722072,christianheinke@t-online.de,Gasteig 8 Puppling 82544 Egling,Germany,47.922507,11.453199,Standard
Heracles Archerie,+33 (556) 651885,heraclesarcherie@orange.fr,Bis le Pin 6 33124 Auros,France,44.498826,-0.140136,Standard
Bogensport-Zentrum Chiemgau,08663-418149,,Maiergschwendt. 3 83324 Ruhpolding,Germany,47.76212,12.63851,Standard
Sport Arco and Frecce SRL,+39 (293) 70030,info@arcoefrecce.it,Viale De Gasperi 117 Mazzo di Rho,Italy,45.529245,9.075722,Standard
L'Usignolo sas ki Malvina Longhi,034-87552418,,Via Privata Santa Lucia 1 20900 Monza,Italy,45.5845,9.274449,Standard
BGB Gerald Bernhuber,+43 (664) 2533452,gerald.bernhuber@gmx.at,17 Altenmarkt 8280 Altenmarkt,Austria,47.06392,16.050373,Standard
Elzinga Archery,+31 (36) 7070776,info@elzingaarchery.com,Pinksterbloemweg 156 1338 RG Almere,Netherlands,52.392377,5.285001,Standard
